"taxref10.CD_REF","binome.discoweed","family","taxo","binome.discoweed.noinfra","taxref10.CD_REF.infra","jauzein","za","biovigilance","fse","farmbio","cambecedes","lifeform","biogeo","red.FR","red.UK","module","c","z"
79684,"ABUTILON THEOPHRASTI","Malvaceae","binome","ABUTILON THEOPHRASTI","79684",1,0,1,0,0,0,"therophyte","Eurasian",NA,NA,NA,NA,NA
79734,"ACER CAMPESTRE","Sapindaceae","binome","ACER CAMPESTRE","79734",0,0,0,1,1,0,"phanaerophyte","Eurasian(meridional)",NA,"LC",1,0.35529,3.1648
79783,"ACER PSEUDOPLATANUS","Sapindaceae","binome","ACER PSEUDOPLATANUS","79783",0,0,1,1,1,0,"phanaerophyte","European",NA,NA,99,0.74492,2.0945
79908,"ACHILLEA MILLEFOLIUM","Asteraceae","binome","ACHILLEA MILLEFOLIUM","79908",1,1,1,1,0,0,"hemicryptophyte","Eurasian",NA,"LC",3,0.66284,22.876
80211,"ADONIS AESTIVALIS","Ranunculaceae","binome","ADONIS AESTIVALIS","80211",1,0,1,0,0,1,"therophyte","Eurasian",NA,NA,1,0.59375,-0.17226
80212,"ADONIS ANNUA","Ranunculaceae","binome","ADONIS ANNUA","80212",1,1,0,0,0,1,"therophyte","Eurasian",NA,"EN",5,0,-0.25147
80224,"ADONIS FLAMMEA","Ranunculaceae","binome","ADONIS FLAMMEA","80224",1,0,0,0,0,1,"therophyte","European(meridional)",NA,NA,5,0.59917,-0.15594
80232,"ADONIS MICROCARPA","Ranunculaceae","binome","ADONIS MICROCARPA","80232",1,0,0,0,0,1,"therophyte","Mediterranean",NA,NA,NA,NA,NA
80263,"AEGILOPS BIUNCIALIS","Poaceae","binome","AEGILOPS BIUNCIALIS","80263",1,0,0,0,0,0,"therophyte","subtropical(paleo)",NA,NA,NA,NA,NA
80270,"AEGILOPS CYLINDRICA","Poaceae","binome","AEGILOPS CYLINDRICA","80270",1,0,0,0,0,0,"therophyte","Mediterranean(eastern)",NA,NA,5,0,-0.29241
80278,"AEGILOPS GENICULATA","Poaceae","binome","AEGILOPS GENICULATA","80278",1,0,0,0,0,0,"therophyte","subtropical(paleo)",NA,NA,5,NA,NA
80288,"AEGILOPS NEGLECTA","Poaceae","binome","AEGILOPS NEGLECTA","80288",1,0,0,0,0,0,"therophyte","subtropical(paleo)",NA,NA,5,0,0.10337
80302,"AEGILOPS TRIUNCIALIS","Poaceae","binome","AEGILOPS TRIUNCIALIS","80302",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0.2112,0.28079
80304,"AEGILOPS VENTRICOSA","Poaceae","binome","AEGILOPS VENTRICOSA","80304",1,0,0,0,0,0,"therophyte","Mediterranean(western)",NA,NA,NA,NA,NA
80322,"AEGOPODIUM PODAGRARIA","Apiaceae","binome","AEGOPODIUM PODAGRARIA","80322",1,1,0,0,0,0,"hemicryptophyte","Eurasian(septentrional)",NA,"LC",9,0.64886,1.8929
80358,"AETHUSA CYNAPIUM","Apiaceae","binome","AETHUSA CYNAPIUM","80358",1,1,1,1,1,1,"therophyte","Eurasian(septentrional)",NA,"LC",9,0.53409,0.3782
613836,"AETHUSA CYNAPIUM F. AGRESTIS","Apiaceae","infra","AETHUSA CYNAPIUM","80358",0,0,0,0,0,1,"therophyte",NA,NA,NA,NA,NA,NA
130873,"AETHUSA CYNAPIUM SUBSP. CYNAPIUM","Apiaceae","infra","AETHUSA CYNAPIUM","80358",1,0,0,0,0,0,"therophyte","Eurasian(septentrional)",NA,"LC",NA,NA,NA
80410,"AGRIMONIA EUPATORIA","Rosaceae","binome","AGRIMONIA EUPATORIA","80410",0,1,0,0,0,0,"hemicryptophyte","Eurasian",NA,"LC",1,0.58038,5.6979
80546,"AGROSTEMMA GITHAGO","Caryophyllaceae","binome","AGROSTEMMA GITHAGO","80546",1,0,1,0,0,1,"therophyte","cosmopolitan",NA,"Wait",5,0.19753,-0.21053
80590,"AGROSTIS CANINA","Poaceae","binome","AGROSTIS CANINA","80590",0,1,0,1,0,0,"hemicryptophyte","holarctic",NA,"LC",99,0.41528,19.203
80591,"AGROSTIS CAPILLARIS","Poaceae","binome","AGROSTIS CAPILLARIS","80591",1,1,1,1,1,0,"hemicryptophyte","holarctic",NA,"LC",3,0.70215,14.676
80593,"AGROSTIS CASTELLANA","Poaceae","binome","AGROSTIS CASTELLANA","80593",1,0,0,0,0,0,"hemicryptophyte","Mediterranean",NA,NA,5,NA,NA
80639,"AGROSTIS GIGANTEA","Poaceae","binome","AGROSTIS GIGANTEA","80639",1,0,0,1,0,0,"hemicryptophyte","holarctic",NA,"LC",3,0.67256,0.13485
80759,"AGROSTIS STOLONIFERA","Poaceae","binome","AGROSTIS STOLONIFERA","80759",1,1,1,1,1,0,"hemicryptophyte","holarctic",NA,"LC",3,0.68211,13.032
80798,"AGROSTIS VINEALIS","Poaceae","binome","AGROSTIS VINEALIS","80798",0,0,0,1,0,0,"hemicryptophyte","Eurasian(septentrional)",NA,"LC",1,0.38728,0.24703
80857,"AIRA CARYOPHYLLEA","Poaceae","binome","AIRA CARYOPHYLLEA","80857",1,0,0,0,0,0,"therophyte","European(meridional)",NA,"LC",5,0.30694,14.665
80864,"AIRA CUPANIANA","Poaceae","binome","AIRA CUPANIANA","80864",1,0,0,0,0,0,"therophyte","Mediterranean(western)",NA,NA,5,0.0076481,6.7634
80902,"AIRA MULTICULMIS","Poaceae","binome","AIRA MULTICULMIS","80902",1,0,0,0,0,0,"therophyte","European(western)",NA,NA,5,0.32227,0.035129
80978,"AJUGA CHAMAEPITYS","Lamiaceae","binome","AJUGA CHAMAEPITYS","80978",1,1,1,0,0,1,"therophyte","European(meridional)",NA,"EN",5,0.50791,3.0512
80990,"AJUGA REPTANS","Lamiaceae","binome","AJUGA REPTANS","80990",1,1,1,0,0,0,"hemicryptophyte","Eurasian",NA,"LC",3,0.46349,10.868
81033,"ALCHEMILLA ALPINA","Rosaceae","binome","ALCHEMILLA ALPINA","81033",0,0,0,1,0,0,"hemicryptophyte","arctic-alpine",NA,"LC",99,0.10046,6.4009
81295,"ALLIARIA PETIOLATA","Brassicaceae","binome","ALLIARIA PETIOLATA","81295",1,1,0,1,1,0,"therophyte","Eurasian",NA,"LC",9,0.52592,4.8514
81313,"ALLIUM AMPELOPRASUM","Amaryllidaceae","binome","ALLIUM AMPELOPRASUM","81313",1,0,0,0,0,0,"geophyte","Mediterranean",NA,"LC",5,0.19753,-0.21053
610829,"ALLIUM CYRILLI","Amaryllidaceae","binome","ALLIUM CYRILLI","610829",0,0,0,0,0,0,"geophyte","European(meridional)",NA,NA,NA,NA,NA
81445,"ALLIUM NEAPOLITANUM","Amaryllidaceae","binome","ALLIUM NEAPOLITANUM","81445",1,0,0,0,0,0,"geophyte","Mediterranean",NA,NA,NA,NA,NA
81449,"ALLIUM NIGRUM","Amaryllidaceae","binome","ALLIUM NIGRUM","81449",1,0,0,0,0,0,"geophyte","Mediterranean","VU",NA,NA,NA,NA
81457,"ALLIUM OLERACEUM","Amaryllidaceae","binome","ALLIUM OLERACEUM","81457",1,1,0,0,0,0,"geophyte","Eurasian(temperate)",NA,NA,1,0.64284,0.89975
81463,"ALLIUM PALLENS","Amaryllidaceae","binome","ALLIUM PALLENS","81463",1,0,0,0,0,1,"geophyte",NA,NA,NA,1,NA,NA
81467,"ALLIUM PANICULATUM","Amaryllidaceae","binome","ALLIUM PANICULATUM","81467",1,0,0,0,0,1,"geophyte","European(meridional)",NA,NA,1,0.47166,-0.13336
161532,"ALLIUM PARADOXUM","Amaryllidaceae","binome","ALLIUM PARADOXUM","161532",0,0,0,1,0,0,"geophyte",NA,NA,NA,NA,NA,NA
81479,"ALLIUM POLYANTHUM","Amaryllidaceae","binome","ALLIUM POLYANTHUM","81479",1,0,0,0,0,0,"geophyte","Mediterranean",NA,NA,5,0.11246,0.11701
81499,"ALLIUM ROSEUM","Amaryllidaceae","binome","ALLIUM ROSEUM","81499",1,0,0,0,0,1,"geophyte","Mediterranean",NA,NA,5,0.48309,0.81304
81501,"ALLIUM ROTUNDUM","Amaryllidaceae","binome","ALLIUM ROTUNDUM","81501",1,0,0,0,0,1,"geophyte","European(meridional)",NA,NA,5,0.44444,-0.26512
81507,"ALLIUM SCABERRIMUM","Amaryllidaceae","binome","ALLIUM SCABERRIMUM","81507",1,0,0,0,0,0,"geophyte","ligure",NA,NA,NA,NA,NA
81510,"ALLIUM SCORODOPRASUM","Amaryllidaceae","binome","ALLIUM SCORODOPRASUM","81510",1,0,0,0,0,0,"geophyte","European(meridional)",NA,"LC",3,0.48484,0.14492
81520,"ALLIUM SPHAEROCEPHALON","Amaryllidaceae","binome","ALLIUM SPHAEROCEPHALON","81520",1,0,0,0,0,0,"geophyte","Eurasian(temperate)",NA,"VU",1,0.35023,7.8981
81525,"ALLIUM SUBHIRSUTUM","Amaryllidaceae","binome","ALLIUM SUBHIRSUTUM","81525",1,0,0,0,0,0,"geophyte","Mediterranean",NA,NA,5,0,0.035129
81537,"ALLIUM TRIFOLIATUM","Amaryllidaceae","binome","ALLIUM TRIFOLIATUM","81537",1,0,0,0,0,0,"geophyte","ligure","RE",NA,NA,NA,NA
81538,"ALLIUM TRIQUETRUM","Amaryllidaceae","binome","ALLIUM TRIQUETRUM","81538",1,0,0,0,0,0,"geophyte","Mediterranean(western)",NA,NA,5,0.23087,0.23984
81544,"ALLIUM VINEALE","Amaryllidaceae","binome","ALLIUM VINEALE","81544",1,0,0,1,0,1,"geophyte","European",NA,"LC",3,0.56167,1.4131
81610,"ALOPECURUS AEQUALIS","Poaceae","binome","ALOPECURUS AEQUALIS","81610",1,0,0,0,0,0,"hemicryptophyte","Eurasian(septentrional)",NA,"LC",99,0.27918,4.8749
81637,"ALOPECURUS GENICULATUS","Poaceae","binome","ALOPECURUS GENICULATUS","81637",1,1,0,1,0,0,"hemicryptophyte","cosmopolitan",NA,"LC",99,0.54602,9.8569
81648,"ALOPECURUS MYOSUROIDES","Poaceae","binome","ALOPECURUS MYOSUROIDES","81648",1,1,1,1,1,1,"therophyte","circumboreal",NA,"LC",9,0.67983,0.21252
81656,"ALOPECURUS PRATENSIS","Poaceae","binome","ALOPECURUS PRATENSIS","81656",0,1,0,1,0,0,"hemicryptophyte","Eurasian",NA,"LC",3,0.085363,10.458
81658,"ALOPECURUS RENDLEI","Poaceae","binome","ALOPECURUS RENDLEI","81658",1,0,1,0,0,0,"hemicryptophyte","Mediterranean-atlantic",NA,NA,3,0.034928,0.61798
81837,"ALTHAEA CANNABINA","Malvaceae","binome","ALTHAEA CANNABINA","81837",1,1,0,0,0,0,"geophyte","European(meridional)",NA,NA,5,0.1504,-0.0058137
81856,"ALTHAEA OFFICINALIS","Malvaceae","binome","ALTHAEA OFFICINALIS","81856",0,1,1,0,0,0,"geophyte","Eurasian(meridional)",NA,NA,99,0.74146,2.0521
